id,Global,Country,City,Mission,PrimaryCollegeOrSchool,PrimaryDepartmentOrCenter,ContactName,ContactEmail,ContactPosition,ProjectAcronym,ProjectTitle,ProjectWebsite,InternationalNetwork,InternationalInstitution,PrimaryFundingAgency,IRB,LOA,DTA,MOU,MTA,OtherAgreementType,NumStudentsTraveled,NumResidentsTraineesTraveled,NumFacultyInvolved,StartYear,EndYear,Description,Location,latitude,longitude
11,No,Botswana,Gaborone,Research,College of Nursing,,"Christina Sun, PhD",,,,,,,National Taiwan University,,,,,,,,,,,,,Conduct interviews with LGBT adults that utilize their photographs to understand continued health disparities. Partnering institutions = National Taiwan University and University of Botswana; Locations = Taiwan and Botswana,"Gaborone, Botswana",-24.6611781,25.9117509
12,No,Botswana,Gaborone,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Gaborone, Botswana (Africa) Start Date: 02/21/2022 - End Date: 04/17/2022","Gaborone, Botswana",-24.6611781,25.9117509
13,No,Brazil,Rio de Janeiro,Research,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"Oswaldo Cruz Foundation, Rio de Janeiro, Brazil (Contact: Patricia Brasil)",,,,,,,,,,,,,"Reconciliation of Cohort Data for Infectious Diseases. Funded by the European Commission ending in Dec. 2023. This is based out of Heidelberg, Germany. Thomas Jaenisch is the overall PI (wearing Heidelberg hat) and the PI for Colorado. The work in Colorado focusses on harmonization for Serosurveillance and on virtual biorepositories.","Rio de Janeiro, Brazil",-22.9014475,-43.1789159
14,No,Brazil,Rio de Janeiro,Service/Clinical,Colorado School of Public Health,,,,,,,,,"Oswaldo Cruz Foundation, Rio de Janeiro, Brazil (Contact: Patricia Brasil)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Rio de Janeiro, Brazil",-22.9014475,-43.1789159
15,No,Brazil,Vitoria,Education,School of Dental Medicine,Community Dentistry and Population Health,"Bruce Dye, DDS, MPH",,,,,,,Universidade Federal do EspÃ­rito Santo (UFES) Center of Health Sciences Professional Program in Dentistry,,,,,,,,,,,,,"Developing collaborative learning opportunties for dental students that provides for immersive global health experiences focusing on oral health, dental care delivery and systems, interprofessional education and practice, and health policy in different settings. Partnership is with the the Universidade Federal do EspÃ­rito Santo (UFES) Center of Health Sciences Professional Program in Dentistry in Vitoria, Brazil. We're also conducting a dental student survey assessing student's perspectives on global health, service trips, and ethics with our UFES partner.","Vitoria, Brazil",-20.3168388,-40.3099161
16,No,Brazil,Rio de Janeiro,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Rio de Janeiro, Brazil (South America) Start Date: 05/13/2023 - End Date: 05/21/2023","Rio de Janeiro, Brazil",-22.9014475,-43.1789159
17,No,Brazil,Sao Paulo,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Sao Paulo, Brazil (South America) Start Date: 10/20/2022 - End Date: 10/25/2022","Sao Paulo, Brazil",-23.5486657,-46.6382522
18,No,Burkina Faso,Nouna,Research,Colorado School of Public Health,,,,,,,,,"Centre de Recherche en Sante a Nouna (CRSN), Burkina Faso (Contact: Ali Sie)",,,,,,,,,,,,,"Towards an African platform for congenital abnormalities and birth defects: This is a Gates Pilot Grant in the Africa Programme (led by African PI, administered by the AAS)","Nouna, Burkina Faso",12.7325405,-3.8628597
19,No,Cambodia,,Education,Colorado School of Public Health,,Alena Clark (CSU),,,,,,,HVO Nutrition,,,,,,,,,,,,,Working with a pediatric hospital in Cambodia to assist with nutrition policy development and educational needs in nutrition and lactation.,Cambodia,12.70783046,104.9141144
20,No,Cambodia,Phnom Penh,Service/Clinical,School of Medicine,,Victoria Seligman,,,,,,,,,,,,,,,,,,,,Clinicial program with attendings and fellows,"Phnom Penh, Cambodia",11.5661768,104.8820388
21,No,Cambodia,Kampot,Service/Clinical,School of Medicine,,Victoria Seligman,,,,,,,,,,,,,,,,,,,,Clinicial program with attendings and fellows,"Kampot, Cambodia",10.5896367,104.169159
22,No,Cambodia,Battambang,Service/Clinical,School of Medicine,,Victoria Seligman,,,,,,,,,,,,,,,,,,,,Clinicial program with attendings and fellows,"Battambang, Cambodia",12.2367742,104.255339
23,No,Cameroon,,Education,Colorado School of Public Health,,Alena Clark (CSU),,,,,,,"Tabidu Africa, Inc., and Cameroon Baptist Health Center",,,,,,,,,,,,,"Developing nutrition education materials with the target population, and developing nutrition education materials with the target population",Cameroon,5.672331431,12.7378693
24,No,Canada,Vancouver,Research,Colorado School of Public Health,Health Systems Mgmt Polic,Glen Mays,,,,,,,"University of British Columbia, University of Toronto, University of Victoria,",,,,,,,,,,,,,"Canadian Public Health Systems Research Program: This is an ongoing research collaboration funded by RWJF and the Canadian Institutes for Health Research, involving University of British Columbia, University of Toronto, University of Victoria, and CU-Anschutz","Vancouver, Canada",49.261636,-123.11335
25,No,Canada,Toronto,Research,Colorado School of Public Health,Health Systems Mgmt Polic,Glen Mays,,,,,,,"University of British Columbia, University of Toronto, University of Victoria,",,,,,,,,,,,,,"Canadian Public Health Systems Research Program: This is an ongoing research collaboration funded by RWJF and the Canadian Institutes for Health Research, involving University of British Columbia, University of Toronto, University of Victoria, and CU-Anschutz","Toronto, Canada",43.653524,-79.383907
26,No,Canada,Victoria,Research,Colorado School of Public Health,Health Systems Mgmt Polic,Glen Mays,,,,,,,"University of British Columbia, University of Toronto, University of Victoria,",,,,,,,,,,,,,"Canadian Public Health Systems Research Program: This is an ongoing research collaboration funded by RWJF and the Canadian Institutes for Health Research, involving University of British Columbia, University of Toronto, University of Victoria, and CU-Anschutz","Victoria, Canada",48.428409,-123.365642
27,No,Canada,Montreal,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel: Montreal, Canada (North America) Start Date: 10/15/2023 - End Date: 10/17/2023","Montreal, Canada",45.508867,-73.554242
28,No,Canada,Whistler,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Whistler, Canada (North America) Start Date: 02/01/2023 - End Date: 02/05/2023","Whistler, Canada",50.116168,-122.959423
29,No,Canada,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",Canada,60.10867,-113.64258
30,No,Canada,Montreal,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Canada - London HSC-LonDIS Drug Information Services and Centre Hospitalier de St. Mary,,,,,,,,,,,,,Affiliation Agreement with Canada - London HSC-LonDIS Drug Information Services and Centre Hospitalier de St. Mary,"Montreal, Canada",45.508867,-73.554242
31,No,Canada,Montreal,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Montreal, Canada (North America) Start Date: 08/19/2023 - End Date: 10/14/2023","Montreal, Canada",45.508867,-73.554242
32,No,Chile,,Education,College of Nursing,,Rosario Medina,,,,,,,,,,,,,,,,,,,,Academic guidance for curriculum,Chile,-30,-71
33,No,Chile,,Education,College of Nursing,,Dean's Office,,,,,,,,,,,,,,,,,,,,Introduction of advance practice to country/ ministry of education; student and faculty exchange,Chile,-30,-71
34,No,Chile,Santiago,Education,Colorado School of Public Health,,David Rojas (CSU),,,,,,,Universidad de Chile,,,,,,,,,,,,,Health Impact assessment course and Climate and health course in Chile,"Santiago, Chile",-33.4459946,-70.6670569
35,No,China,Nanjing,Research,Colorado School of Public Health,,Lorann Stallones,,,,,,,"Southeast University, Nanjing, China",,,,,,,,,,,,,"Injury Prevention Research Institute, Department of Epidemiology and Biostatistics, School of Public Health, Southeast University, Nanjing, China","Nanjing, China",32.06167,118.77778
36,No,China,Hefei Anhui,Research,Colorado School of Public Health,Biostatistics and Informatc,Yue Wang,,,,,,,"Department of Management Science, University of Science and Technology of China (USTC)",,,,,,,,,,,,,This study investigates the path following which the top management team background positively affects innovation performance of Chinese listed firms.,"Hefei Anhui, China",31.86389,117.28083
37,No,China,Beijing,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,"Peggy McIntosh, Shaodong Dai, Ph.D.|Associate Professor 
 
 Department of Pharmaceutical Sciences",,,,,,,"China Agricultural University, College of Biological Sciences with SSPPS",,,,,,,,,,,,,Epigenetic controls of T cell immunity joint training and research project,"Beijing, China",39.9075,116.39723
38,No,China,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,China - Huashan Worldwide Medical Center.,,,,,,,,,,,,,Affiliation Agreement with China - Huashan Worldwide Medical Center.,China,36.5673484,103.930027
39,No,China,Hong Kong,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,University of Hong Kong,,,,,,,,,,,,,Affiliation Agreement with China - University of Hong Kong,"Hong Kong, China",22.35195832,114.119386
40,No,China,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jared M. Brown,,,,,,,,,,,,,,,,,,,,Working with a colleague at the Chinese Academy of Sciences on development of nanotherapeutics,China,36.5673484,103.930027
41,No,Colombia,Bucaramanga,Research,Colorado School of Public Health,,Thomas Jaenisch,,,,,,,"Industrial University of Santander, Bucamaranga, Colombia (Contacts: Anyela Lozano, Gustavo Guaido)",,,,,,,,,,,,,"Reconciliation of Cohort Data for Infectious Diseases. Funded by the European Commission ending in Dec. 2023. This is based out of Heidelberg, Germany. Thomas Jaenisch is the overall PI (wearing Heidelberg hat) and the PI for Colorado. The work in Colorado focusses on harmonization for Serosurveillance and on virtual biorepositories.","Bucaramanga, Colombia",7.1311813,-73.1250327
42,No,Colombia,Bucaramanga,Service/Clinical,Colorado School of Public Health,,,,,,,,,"Industrial University of Santander, Bucamaranga, Colombia (Contacts: Anyela Lozano, Gustavo Guaido)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Bucaramanga, Colombia",7.1311813,-73.1250327
43,No,Colombia,Baranquilla,Research,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,Pan American Health Organization,,,,,,,,,,,,,Salud Urbana,"Baranquilla, Colombia",10.961041,-74.8009587
44,No,Colombia,,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.",Colombia,3.901115804,-73.07575492
45,No,Colombia,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Minga House South America,,,,,,,,,,,,,Affiliation Agreement,Colombia,3.901115804,-73.07575492
46,No,Colombia,Chinchina,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Chinchina, Colombia (South America) Start Date: 01/06/2024 - End Date: 02/18/2024","Chinchina, Colombia",4.9843754,-75.6048006
47,No,Costa Rica,,Education,Colorado School of Public Health,,Meredith Fort,,,,,,,University of Costa Rica,,,,,,,,,,,,,Collaborative Teaching,Costa Rica,9.972837179,-84.19631844
48,No,Costa Rica,San Jose,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. San Jose, Costa Rica (Central America and the Caribbean) Start Date: 08/14/2022 - End Date: 08/25/2022","San Jose, Costa Rica",9.9331345,-84.0797794
49,No,Costa Rica,San Jose,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","San Jose, Costa Rica",9.9331345,-84.0797794
50,No,Costa Rica,San Jose,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Jose, Costa Rica",9.9331345,-84.0797794
51,No,Costa Rica,San Jose,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Jose, Costa Rica",9.9331345,-84.0797794
52,No,Costa Rica,San Jose,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","San Jose, Costa Rica",9.9331345,-84.0797794
53,No,Costa Rica,Santo Domingo,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,,"Santo Domingo, Costa Rica",9.985548155,-84.06627499
54,No,Costa Rica,Santo Domingo,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Santo Domingo, Costa Rica (Central America and the Caribbean) Start Date: 01/30/2023 - End Date: 02/17/2023","Santo Domingo, Costa Rica",9.985548155,-84.06627499
55,No,Costa Rica,Nosara,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Nosara, Costa Rica (Central America) Start Date: 03/31/2023 - End Date: 04/08/2023|San Juan del Sur, Nicaragua (Central America) Start Date: 04/08/2023 - End Date: 04/19/2023","Nosara, Costa Rica",9.98141,-85.6516
56,No,Costa Rica,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jodie Maholtra,,,,,,,Universidad de Iberoamerica,,,,,,,,,,,,,,Costa Rica,9.972837179,-84.19631844
57,No,Costa Rica,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",Costa Rica,9.972837179,-84.19631844
58,No,Costa Rica,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. San Jose, Costa Rica (Central America) Start Date: 07/09/2023 - End Date: 08/18/2023",Costa Rica,9.972837179,-84.19631844
59,No,Costa Rica,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Spanish for Pharmacists APPE,,,,,,,,,,,,,Affiliation Agreement with Costa Rica,Costa Rica,9.972837179,-84.19631844
60,No,Costa Rica,Santo Domingo,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Santo Domingo, Costa Rica (Central America) Start Date: 07/07/2023 - End Date: 08/18/2023","Santo Domingo, Costa Rica",9.985548155,-84.06627499
61,No,Côte d’Ivoire,Abidjan,Research,Colorado School of Public Health,,"Jaenisch, Thomas",,,,,,,"Centre Suisse de Recherche Scientifique, Ivory Coast (Contact: Bonfoh Bassirou)",,,,,,,,,,,,,"Towards an African platform for congenital abnormalities and birth defects: This is a Gates Pilot Grant in the Africa Programme (led by African PI, administered by the AAS)","Abidjan, Côte d’Ivoire",5.3493952,-4.017048
62,No,Cuba,,Education,College of Nursing,,,,,,,,,,,,,,,,,,,,,,International Student Travel. CU Anschutz in Cuba: Intensive Study of Public Health ServicesStart Date: 05/20/2023 - End Date: 05/31/2023,Cuba,22,-79.5
63,No,Dominican Republic,Santo Domingo,Research,College of Nursing,,"Samantha Stonbraker, PhD, MPH, RN",,,,,,,Clinica de Familia La Romana Dominican Republic,,,,,,,,,,,,,"No Cost Extension R00NR017829, Clinica de Familia La Romana Dominican Republic; Consultant, Clinica de Familia La Romana Dominican Republic; Collaborator, United States Agency for International Development (USAID) HIV Services and Systems Strengthening Project. Santo Domingo, Dominican Republic; Also, potential for PhD and DNP student engagement","Santo Domingo, Dominican Republic",18.4720187,-69.9020309
64,No,Dominican Republic,San Juan,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","San Juan, Dominican Republic",18.8090218,-71.2372423
65,No,Dominican Republic,San Juan,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Juan, Dominican Republic",18.8090218,-71.2372423
66,No,Dominican Republic,San Juan,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Juan, Dominican Republic",18.8090218,-71.2372423
67,No,Dominican Republic,San Juan,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","San Juan, Dominican Republic",18.8090218,-71.2372423
68,No,Ecuador,Quito,Education,Colorado School of Public Health,Epidemiology,David Rojas (CSU),,,,,,,Pan American Health Organization,,,,,,,,,,,,,Salud Urbana,"Quito, Ecuador",-0.214945,-78.5132
69,No,Ecuador,Quito,Education,Colorado School of Public Health,Epidemiology,Chris Melby (CSU),,,,,,,Universidad San Francisco de Quito,,,,,,,,,,,,,I give seminars and consult on a research project on the nutrition transition in Ecuador with colleagues in the School of Public at the Universidad San Francisco de Quito,"Quito, Ecuador",-0.214945,-78.5132
70,No,Ecuador,Guayaquil,Service/Clinical,Colorado School of Public Health,,,,,,,,,"Sosecali Non for Profit in Guayaquil, Ecuador (Contact: Carmen Soria)",,,,,,,,,,,,,"This is a project funded by the Eur. Commission, focused on preparedness of infectious disease cohorts in LMIC","Guayaquil, Ecuador",-2.147634,-79.9417504
71,No,Ecuador,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Spanish for Pharmacists APPE,,,,,,,,,,,,,Affiliation Agreement,Ecuador,-1.428836291,-78.77523855
72,No,Egypt,Cairo,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jodie Malhotra/Kari Franson,,,,,,,Children's Cancer Hospital Egypt,,,,,,,,,,,,,"Education exchange, Affiliation Agreement","Cairo, Egypt",30.0434879,31.2352919
73,No,Egypt,Cairo,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Douglas Fish,,,,,,,Several Universities in Egypt,,,,,,,,,,,,,"Egyptian Anti-Infective Stewardship Program. Volunteer consultant, developer and provider of educational programming for a national program focused on antimicrobial stewardship in Egypt. The program was a partnership between the Egyptian Ministry of Health and Population based in Cairo, several universities and state-funded hospitals, and the pharmaceutical industry. The program ran a seriesof programs in 2021-22 and is currently developing a second round of programming for 2024.","Cairo, Egypt",30.0434879,31.2352919
74,No,Egypt,Cairo,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Cairo, Egypt (Africa) Start Date: 03/28/2022 - End Date: 05/08/2022","Cairo, Egypt",30.0434879,31.2352919
75,No,El Salvador,San Salvador,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,,,,,,,,,,,,,,"Support as a mentor on the Implementation of standard therapies for childhood cancers: retinoblastoma, Hodgkin lymphoma, Wilms tumor, neuroblastoma, rhabdomyosarcoma, Burkitt lymphoma","San Salvador, El Salvador",13.69841,-89.19235
76,No,El Salvador,San Salvador,Education,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Salvador, El Salvador",13.69841,-89.19235
77,No,El Salvador,San Salvador,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,AHOPCA: Central American Association of Pediatric Hematology-Oncology and GALOP (Grupo America Latina de Oncologia Pediatrica),,,,,,,,,,,,,Prospective treatment of retinoblastoma. Protocols 1 and 2 completed. Now designing and writing AHOPCA 3 Retinoblastoma that will incorporate other countries,"San Salvador, El Salvador",13.69841,-89.19235
78,No,El Salvador,San Salvador,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"GALOP Argentina, GRACCO Brazil",,,,,,,,,,,,,"Online Retinoblastoma tumor board, meets weekly.","San Salvador, El Salvador",13.69841,-89.19235
79,No,El Salvador,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Sciences,Jared M. Brown,,,,,,,,,,,,,,,,,,,,"Working with multiple countries and clinicians on biopsies and sample collection including El Salvador, Mexico, India and Thailand",El Salvador,13.73346847,-88.86567455
80,No,Ethiopia,Tepi,Education,Colorado School of Public Health,,Margo Harrison,,,,,,,Mizan Tepi University Teaching Hospital,,,,,,,,,,,,,,"Tepi, Ethiopia",7.1982407,35.4243907
81,No,Ethiopia,,Research,Colorado School of Public Health,,Jon Samet,,,,,,,,,,,,,,,,,,,,"GEOHealth Hub for Eastern Africa: NIH-funded regional center for research and training on environmental and occupational health with focus on air pollution and heat stress. Includes Ethiopia, Uganda, and Kenya as main sites with additional training sites",Ethiopia,8.619088938,39.64475013
82,No,Ethiopia,Addis Ababa,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"GME Resident International Elective (pending). Addis Ababa, Ethiopia (Africa) Start Date: 01/07/2023 - End Date: 01/21/2023","Addis Ababa, Ethiopia",9.0331385,38.7500769
83,No,Ethiopia,,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",Ethiopia,8.619088938,39.64475013
84,No,Ethiopia,Addis Ababa,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,Affiliation Agreement,"Addis Ababa, Ethiopia",9.0331385,38.7500769
85,No,Fiji,Suva,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Suva, Fiji (Australia/Pacific Islands) Start Date: 09/27/2022 - End Date: 10/21/2022","Suva, Fiji",-18.1433693,178.4371712
